Cécile Dinant (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Cèdre (rue du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Celine (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 1
Cerisiers (cité des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Cerisiers (villa des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Chaillots (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Chamberet (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Champ Faucillon (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Champagne (rue de)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Chapelle (allée de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Charles Debry (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Charbonniers (avenue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Charles Louis (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Charmettes (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Châtaigniers (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Château (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Châtillon (rue de)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Chef de Ville (rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 1
Chemin de Fer Nord (sentier du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Chemin de Fer Sud (sentier du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Chemin Vert (rue du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Chevreuse (villa de)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Chevreuse (allée de)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Cimetière Intercommunal (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Clamart (carrefour de)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Clément Ader (allée)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Clos Fleury (allée du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Clos Montholon (rue du)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Closiaux (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Closiaux (villa des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Collet Ferry (impasse)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Colombe (impasse)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 3
Commandant Duval (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Condorcet (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Condorcet (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Condorcet (19 rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Constant Pape (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Coquelicots (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Corneille (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Corse (allée de)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Côte Sainte Catherine (chemin de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Coteau (villa du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Cour Creuse (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Crouy (rue de)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Danton (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Dauphine (allée de)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Denis Abraham (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Denis Gogue (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Denis Papin (avenue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Désire Filleaud (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Dewoitine (allée)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Diderot (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Division Leclerc (rue de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Division Leclerc (lycée) (47 rue de la)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 3
Docteur Calmette (avenue du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Docteur Roux (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Dorliat (passage)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Dormelles (rue de)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Drouet Peupion (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Duffaut (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
École diu Canal (rue de l’)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Édison (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Édouard (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Église (rue de l’)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Église (place de l’)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Élise (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Émilienne (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Emmanuel Sarty (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Entrepreneurs (villa des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Épis d’Or (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Ermitage (rue de l’)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 3
Esperance (rue de l’)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Est (rue de l’)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Estienne d’Orves (rue d’)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Estienne d’Orves (impasse)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Étangs (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Eugène Beaujard (carrefour)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Fauveau (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Fauveau (1 rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Ferdinand Buisson (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Ferrari (place)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Fêtes (place des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Feuillants (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Fillassier (rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Filon (allée du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Flandre (rue de)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Fleurs (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Fleury (passage)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Fleury (rue de)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Fleury (vieux chemin de)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Fleury (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
