"du n°1 au n° 45 (côté impair) et
n°51 et 53"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°2 au n°50 (côté pair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Gambetta (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
n°19 (école Gambetta)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Gare (rue de la)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"n°10, 18, 23, 30 et 32"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Gay Lussac (impasse)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Gay Lussac (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"n°20 (école Gay Lussac) et n°55
(collège Georges Sand)"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Gay Lussac (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Général de Gaulle (carrefour du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 3
Geneviève (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Genzano-di-Roma (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Geo Chavez (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
George Sand (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Georges Pompidou (allée)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Guy Moquet (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Guynemer (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
"n°2 (halte garderie) et cuisine
centrale"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Henri Barbusse (allée)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Henri Gatinot (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
n°7 et 8 (école Langevin-Wallon)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Hoche (impasse)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Hoche (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Ile (rue de l’)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Ile (sentier de l’)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Iris (rue des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Issy (voie d’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jacqueline (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Jean Bouin (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
n°31	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jean Dupuis (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Jean Jaures (avenue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Jean Jaures (rue)					
du n°1 au n°29 (côté impair)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
du n°2 au n°26 (côté pair)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
"du n°28 au n°60 et du n°68 au 120
(côté pair)"	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
du n°31 au n°119 (côté impair)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
n°62-66 (école Jean-Jaurès)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Jean Macé (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
"n°9 bis (crèche La flûte
enchantée)"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Jean Mermoz (place)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jean Mermoz (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
